Year,AHRQ/CCS Condition Category,CCS Category Number,AHRQ Category,Volatility Level,NIPA Dollars,Uncontrolled Dollars,Number of Episodes,Per Capita Index,Medical Care Expenditure Index,Prevalence Index,Per Capita Dollars,Cost Per Case Dollars,Unweighted MEPS Patients,Share MEPS Spending,CCS Chapter Number,CCS Chapter,Chapter Spending (Billions),CCS Category,,Format,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,       Ot primry ca,41,Cancer_AHRQ,moderate,1081205603,863520860.1,612232.1728,1.435560657,2.159436304,0.664784905,3.623587111,1766.005858,8,0.675178995,2,Neoplasms,93.61,Cancer; other and unspecified primary,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,       Ot primry ca,41,Cancer_AHRQ,moderate,1042401282,825010929.4,587874.8117,1.370938005,2.148614798,0.638056671,3.460469093,1773.168812,6.5,0.675178995,2,Neoplasms,98.67,Cancer; other and unspecified primary,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,       Ot primry ca,41,Cancer_AHRQ,moderate,1009167087,810708224.5,571828.8649,1.314734674,2.170612092,0.605697664,3.3186028,1764.806132,7.5,0.675178995,2,Neoplasms,101.79,Cancer; other and unspecified primary,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,       Ot primry ca,41,Cancer_AHRQ,moderate,1044022427,853586431,597868.1704,1.34827232,2.185877315,0.61681061,3.40325724,1746.241862,7.5,0.675178995,2,Neoplasms,106.92,Cancer; other and unspecified primary,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,       Ot primry ca,41,Cancer_AHRQ,moderate,1063526829,869851973,573242.4735,1.3620207,2.323221963,0.586263698,3.437960373,1855.282674,10,0.675178995,2,Neoplasms,110.18,Cancer; other and unspecified primary,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,       Ot primry ca,41,Cancer_AHRQ,moderate,1103812710,894988435.2,578235.3374,1.403112476,2.369717128,0.592101251,3.541682657,1908.933333,9.5,0.675178995,2,Neoplasms,117.76,Cancer; other and unspecified primary,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,       Ot primry ca,41,Cancer_AHRQ,moderate,1337893749,1061671439,553366.738,1.688017947,2.937384485,0.574667006,4.260830113,2417.73431,8,0.675178995,2,Neoplasms,122.26,Cancer; other and unspecified primary,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,       Ot primry ca,41,Cancer_AHRQ,moderate,1279785712,1025424332,587703.4515,1.603435491,2.671339527,0.600236501,4.047330322,2177.604553,15.5,0.675178995,2,Neoplasms,121.82,Cancer; other and unspecified primary,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,       Ot primry ca,41,Cancer_AHRQ,moderate,1391195230,1115239130,634094.0956,1.730114983,2.692762204,0.64250567,4.367089834,2193.98862,24.5,0.675178995,2,Neoplasms,128.96,Cancer; other and unspecified primary,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,       Ot primry ca,41,Cancer_AHRQ,moderate,1870092555,1532399186,555750.9209,2.308770702,4.221583995,0.546896782,5.827710389,3364.983276,21.5,0.675178995,2,Neoplasms,135.84,Cancer; other and unspecified primary,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,       Malig neopls,43,Cancer_AHRQ,moderate,1379961816,1052075782,354804.0163,1,1,1,4.890664957,3889.36357,4.5,0.674147912,2,Neoplasms,60.18,Malignant neoplasm without specification of site,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,       Malig neopls,43,Cancer_AHRQ,moderate,1304009072,1036321364,330804.9221,0.935653726,1.056486598,0.885627633,4.575968889,3941.92766,4.5,0.674147912,2,Neoplasms,65.89,Malignant neoplasm without specification of site,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,       Malig neopls,43,Cancer_AHRQ,moderate,1238983884,986096463.7,319941.1369,0.880786851,1.039419408,0.847383495,4.307633384,3872.536978,7,0.674147912,2,Neoplasms,71.1,Malignant neoplasm without specification of site,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,       Malig neopls,43,Cancer_AHRQ,moderate,1156170588,916143476.1,302256.7126,0.814881392,1.022183915,0.797196453,3.985311866,3825.127911,8.5,0.674147912,2,Neoplasms,75.42,Malignant neoplasm without specification of site,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,       Malig neopls,43,Cancer_AHRQ,moderate,1164908698,928336916.9,329003.3109,0.813476564,0.951583399,0.854866285,3.978441327,3540.72029,8,0.674147912,2,Neoplasms,83.27,Malignant neoplasm without specification of site,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,       Malig neopls,43,Cancer_AHRQ,moderate,1150377320,921106354.6,335147.0637,0.795958672,0.926863679,0.858765632,3.892767187,3432.455314,8.5,0.674147912,2,Neoplasms,87.25,Malignant neoplasm without specification of site,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,       Malig neopls,43,Cancer_AHRQ,moderate,1105798862,883162630.1,296572.9998,0.75777216,1.004270205,0.754550076,3.706009746,3728.589125,7.5,0.674147912,2,Neoplasms,93.61,Malignant neoplasm without specification of site,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,       Malig neopls,43,Cancer_AHRQ,moderate,1201856489,951212125.7,286549.1717,0.81580195,1.119488726,0.728727258,3.989814007,4194.241714,5.5,0.674147912,2,Neoplasms,98.67,Malignant neoplasm without specification of site,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,       Malig neopls,43,Cancer_AHRQ,moderate,1108203651,890268644.3,263003.6375,0.745150268,1.141565477,0.652744221,3.644280305,4213.643818,3,0.674147912,2,Neoplasms,101.79,Malignant neoplasm without specification of site,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,       Malig neopls,43,Cancer_AHRQ,moderate,1056273108,863602513.4,233571.8304,0.704033395,1.24690951,0.564622685,3.443191456,4522.262404,2.5,0.674147912,2,Neoplasms,106.92,Malignant neoplasm without specification of site,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,       Malig neopls,43,Cancer_AHRQ,moderate,1126154691,921074911.4,269029.3856,0.744359191,1.154613782,0.644682406,3.640411409,4185.991388,5.5,0.674147912,2,Neoplasms,110.18,Malignant neoplasm without specification of site,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,       Malig neopls,43,Cancer_AHRQ,moderate,1215843379,985824636.7,270427.5191,0.797671319,1.22939173,0.648834134,3.901143167,4496.004635,6,0.674147912,2,Neoplasms,117.76,Malignant neoplasm without specification of site,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,       Malig neopls,43,Cancer_AHRQ,moderate,1279486374,1015322885,251159.3884,0.833182899,1.363315153,0.61114475,4.074818405,5094.320311,3.5,0.674147912,2,Neoplasms,122.26,Malignant neoplasm without specification of site,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,       Malig neopls,43,Cancer_AHRQ,moderate,1236759500,990949713.1,274341.9178,0.79973985,1.218150506,0.656519737,3.911259657,4508.095263,4.5,0.674147912,2,Neoplasms,121.82,Malignant neoplasm without specification of site,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,       Malig neopls,43,Cancer_AHRQ,moderate,1370755168,1098853538,284462.2635,0.879824448,1.302736716,0.675366279,4.302926597,4818.759265,4,0.674147912,2,Neoplasms,128.96,Malignant neoplasm without specification of site,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,       Malig neopls,43,Cancer_AHRQ,moderate,1392841814,1141328356,293471.5539,0.887500782,1.311553769,0.676678916,4.340468973,4746.087978,3,0.674147912,2,Neoplasms,135.84,Malignant neoplasm without specification of site,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,       Ovary cancer,27,Cancer_AHRQ,moderate,924925356.9,705158328.9,198225.8653,1,1,1,3.277989274,4666.017503,1.5,1.474450658,2,Neoplasms,60.18,Cancer of ovary,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,       Ovary cancer,27,Cancer_AHRQ,moderate,987180444.5,784531493.2,208184.9414,1.056796742,1.059338489,0.997600628,3.464168384,4741.84366,1,1.474450658,2,Neoplasms,65.89,Cancer of ovary,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,       Ovary cancer,27,Cancer_AHRQ,moderate,1070871303,852297127.7,189844.6687,1.135802524,1.262020186,0.899987604,3.723148491,5640.776275,0,1.474450658,2,Neoplasms,71.1,Cancer of ovary,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,       Ovary cancer,27,Cancer_AHRQ,moderate,1126618322,892726416.2,185767.7857,1.184703514,1.350895216,0.876976615,3.883445413,6064.659258,1,1.474450658,2,Neoplasms,75.42,Cancer of ovary,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,       Ovary cancer,27,Cancer_AHRQ,moderate,1170869180,933086933,190500.4015,1.219893496,1.376892057,0.88597613,3.998797795,6146.281953,1.5,1.474450658,2,Neoplasms,83.27,Cancer of ovary,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,       Ovary cancer,27,Cancer_AHRQ,moderate,1044385538,836238805.5,191388.1077,1.07813077,1.228256443,0.877773348,3.534101101,5456.898814,2,1.474450658,2,Neoplasms,87.25,Cancer of ovary,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,       Ovary cancer,27,Cancer_AHRQ,moderate,1025958494,819396938.6,198700.8586,1.048944914,1.159226434,0.904866283,3.438430179,5163.331963,3,1.474450658,2,Neoplasms,93.61,Cancer of ovary,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,       Ovary cancer,27,Cancer_AHRQ,moderate,1135978571,899072893.8,204049.5504,1.150436491,1.23860533,0.928816035,3.77111848,5567.170175,2,1.474450658,2,Neoplasms,98.67,Cancer of ovary,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,       Ovary cancer,27,Cancer_AHRQ,moderate,1186548770,953206717.7,218457.6723,1.190337903,1.22657321,0.970458096,3.901914877,5431.481338,3.5,1.474450658,2,Neoplasms,101.79,Cancer of ovary,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,       Ovary cancer,27,Cancer_AHRQ,moderate,1152511868,942286743,219627.1005,1.14610083,1.206065336,0.950280881,3.75690623,5247.584956,4.5,1.474450658,2,Neoplasms,106.92,Cancer of ovary,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,       Ovary cancer,27,Cancer_AHRQ,moderate,1231445031,1007191225,196812.9362,1.214394856,1.438573234,0.84416617,3.980773314,6256.931355,1.5,1.474450658,2,Neoplasms,110.18,Cancer of ovary,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,       Ovary cancer,27,Cancer_AHRQ,moderate,1242050967,1007074154,195966.3325,1.215755221,1.444620148,0.841574322,3.985232575,6338.083438,1,1.474450658,2,Neoplasms,117.76,Cancer of ovary,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,       Ovary cancer,27,Cancer_AHRQ,moderate,1322951440,1049814129,191070.0958,1.285313204,1.544519424,0.832176782,4.213242898,6923.906303,1,1.474450658,2,Neoplasms,122.26,Cancer of ovary,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,       Ovary cancer,27,Cancer_AHRQ,moderate,1277120991,1023289232,180624.1454,1.23212823,1.592561752,0.773676894,4.038903124,7070.599492,0,1.474450658,2,Neoplasms,121.82,Cancer of ovary,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,       Ovary cancer,27,Cancer_AHRQ,moderate,1359410251,1089758988,183970.5843,1.301808366,1.665159173,0.781792147,4.26731386,7389.2805,0,1.474450658,2,Neoplasms,128.96,Cancer of ovary,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,       Ovary cancer,27,Cancer_AHRQ,moderate,1444133653,1183358133,185770.3879,1.372886771,1.79066108,0.766692696,4.50030811,7773.755919,0,1.474450658,2,Neoplasms,135.84,Cancer of ovary,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,       Skin melanom,22,Cancer_AHRQ,low,375826011.2,286527815.5,368839.1713,1,1,1,1.331949248,1018.942782,2.5,0.091188938,2,Neoplasms,60.18,Melanomas of skin,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,       Skin melanom,22,Cancer_AHRQ,low,448934584.5,356777043,394847.9307,1.18276329,1.163154176,1.016858568,1.575380674,1136.980973,2.5,0.091188938,2,Neoplasms,65.89,Melanomas of skin,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,       Skin melanom,22,Cancer_AHRQ,low,532560871.3,423860551.3,444459.0338,1.390127563,1.227613087,1.132382489,1.851579362,1198.222627,3,0.091188938,2,Neoplasms,71.1,Melanomas of skin,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,       Skin melanom,22,Cancer_AHRQ,low,527891630.5,418298543.9,415371.3023,1.366147195,1.296343557,1.053846558,1.819638729,1270.890954,1.5,0.091188938,2,Neoplasms,75.42,Melanomas of skin,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,       Skin melanom,22,Cancer_AHRQ,low,575678848.8,458768939,403718.2714,1.476092813,1.462803026,1.009085151,1.966080712,1425.942023,0,0.091188938,2,Neoplasms,83.27,Melanomas of skin,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,       Skin melanom,22,Cancer_AHRQ,low,588362323.9,471101321.4,453033.3702,1.494773183,1.338610965,1.116659897,1.990962017,1298.717407,1.5,0.091188938,2,Neoplasms,87.25,Melanomas of skin,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,       Skin melanom,22,Cancer_AHRQ,low,644314439.8,514591265.1,482420.2079,1.621214972,1.373115809,1.180683349,2.159376064,1335.587584,2.5,0.091188938,2,Neoplasms,93.61,Melanomas of skin,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,       Skin melanom,22,Cancer_AHRQ,low,690105165.2,546185345,504424.4134,1.7199968,1.393844079,1.233995127,2.290948445,1368.104213,1.5,0.091188938,2,Neoplasms,98.67,Melanomas of skin,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,       Skin melanom,22,Cancer_AHRQ,low,720889299.8,579122022.3,529013.6266,1.779807775,1.409202712,1.262989178,2.370613628,1362.704595,1,0.091188938,2,Neoplasms,101.79,Melanomas of skin,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,       Skin melanom,22,Cancer_AHRQ,low,738716503.5,603970151.8,587823.7202,1.807902784,1.322630759,1.366899093,2.408034754,1256.697337,4,0.091188938,2,Neoplasms,106.92,Melanomas of skin,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,       Skin melanom,22,Cancer_AHRQ,low,818614719,669539882.7,612738.8919,1.986754881,1.406602076,1.412449843,2.64625667,1335.992753,5.5,0.091188938,2,Neoplasms,110.18,Melanomas of skin,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,       Skin melanom,22,Cancer_AHRQ,low,993360318.4,805431926.1,607975.4646,2.39294868,1.705348078,1.403202496,3.187286195,1633.882247,2.5,0.091188938,2,Neoplasms,117.76,Melanomas of skin,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,       Skin melanom,22,Cancer_AHRQ,low,1095761304,869529798.1,611726.2713,2.619997498,1.829774565,1.431869012,3.489703697,1791.260823,1,0.091188938,2,Neoplasms,122.26,Melanomas of skin,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,       Skin melanom,22,Cancer_AHRQ,low,1173725914,940444247.6,646962.0578,2.786829567,1.871218454,1.489312785,3.711915546,1814.211358,1.5,0.091188938,2,Neoplasms,121.82,Melanomas of skin,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,       Skin melanom,22,Cancer_AHRQ,low,1315675654,1054699542,707431.5661,3.100738968,1.919174974,1.615662464,4.130026937,1859.792123,2,0.091188938,2,Neoplasms,128.96,Melanomas of skin,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,       Skin melanom,22,Cancer_AHRQ,low,1487185988,1218636261,750985.4748,3.479464966,2.088876712,1.665711024,4.634470746,1980.312587,4.5,0.091188938,2,Neoplasms,135.84,Melanomas of skin,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,       Kidny/rnl ca,33,Cancer_AHRQ,high,628146574.9,478895713.8,166276.3396,1,1,1,2.226188005,3777.726744,0,0.128400522,2,Neoplasms,60.18,Cancer of kidney and renal pelvis,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,       Kidny/rnl ca,33,Cancer_AHRQ,high,608513579.1,483597572.8,178681.1341,0.959203789,0.939712313,1.020741962,2.13536797,3405.583819,0,0.128400522,2,Neoplasms,65.89,Cancer of kidney and renal pelvis,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,       Kidny/rnl ca,33,Cancer_AHRQ,high,661408023.7,526408875.8,189336.394,1.032953324,0.965336232,1.07004512,2.2995483,3493.295766,0,0.128400522,2,Neoplasms,71.1,Cancer of kidney and renal pelvis,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,       Kidny/rnl ca,33,Cancer_AHRQ,high,734925691.5,582351241.9,210420.9299,1.137946872,0.960916334,1.18423096,2.533283678,3492.645393,0.5,0.128400522,2,Neoplasms,75.42,Cancer of kidney and renal pelvis,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,       Kidny/rnl ca,33,Cancer_AHRQ,high,792889925.5,631868394.4,218273.8937,1.21638801,1.005111732,1.210201783,2.707908398,3632.545845,1,0.128400522,2,Neoplasms,83.27,Cancer of kidney and renal pelvis,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,       Kidny/rnl ca,33,Cancer_AHRQ,high,904649903.9,724352576.3,211658.61,1.375108045,1.188238376,1.157266145,3.061249036,4274.099238,0.5,0.128400522,2,Neoplasms,87.25,Cancer of kidney and renal pelvis,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,       Kidny/rnl ca,33,Cancer_AHRQ,high,926287596.9,739793301,236572.3712,1.394486868,1.085765097,1.284335693,3.104389939,3915.451294,1,0.128400522,2,Neoplasms,93.61,Cancer of kidney and renal pelvis,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,       Kidny/rnl ca,33,Cancer_AHRQ,high,963627102.6,762664921.3,250083.2689,1.436968361,1.058860236,1.357089739,3.198961728,3853.224995,1,0.128400522,2,Neoplasms,98.67,Cancer of kidney and renal pelvis,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,       Kidny/rnl ca,33,Cancer_AHRQ,high,1028822975,826498662,253046.0988,1.519746014,1.134049506,1.340105529,3.383240346,4065.753156,0.5,0.128400522,2,Neoplasms,101.79,Cancer of kidney and renal pelvis,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,       Kidny/rnl ca,33,Cancer_AHRQ,high,1172592659,958704675.8,287942.6841,1.716999946,1.156027864,1.485258271,3.822364684,4072.312732,2.5,0.128400522,2,Neoplasms,106.92,Cancer of kidney and renal pelvis,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,       Kidny/rnl ca,33,Cancer_AHRQ,high,1128660970,923124781,289254.8944,1.63890615,1.108075107,1.479056915,3.648513213,3901.959799,2.5,0.128400522,2,Neoplasms,110.18,Cancer of kidney and renal pelvis,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,       Kidny/rnl ca,33,Cancer_AHRQ,high,1163232255,943166722.2,277139.6681,1.676559041,1.181623941,1.418860081,3.732335627,4197.278082,0.5,0.128400522,2,Neoplasms,117.76,Cancer of kidney and renal pelvis,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,       Kidny/rnl ca,33,Cancer_AHRQ,high,1222692814,970254956,274715.8502,1.749154273,1.226285682,1.426383998,3.893946263,4450.754529,0,0.128400522,2,Neoplasms,122.26,Cancer of kidney and renal pelvis,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,       Kidny/rnl ca,33,Cancer_AHRQ,high,1224640845,981239678.2,287641.9517,1.739715749,1.184438129,1.468810997,3.872934334,4257.518201,0,0.128400522,2,Neoplasms,121.82,Cancer of kidney and renal pelvis,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,       Kidny/rnl ca,33,Cancer_AHRQ,high,1291765211,1035531950,297940.7644,1.821485807,1.206766042,1.509394318,4.054969855,4335.644414,0,0.128400522,2,Neoplasms,128.96,Cancer of kidney and renal pelvis,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,       Kidny/rnl ca,33,Cancer_AHRQ,high,1351277203,1107269306,315390.7625,1.891548458,1.21897219,1.551756861,4.210942488,4284.453966,0,0.128400522,2,Neoplasms,135.84,Cancer of kidney and renal pelvis,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,       Uterus cancr,25,Cancer_AHRQ,low,495350377,377652576.4,201881.9009,1,1,1,1.755550554,2453.664122,1.5,0.053254428,2,Neoplasms,60.18,Cancer of uterus,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,       Uterus cancr,25,Cancer_AHRQ,low,549575293.1,436758171,212102.7676,1.098541101,1.100777735,0.997968133,1.928544438,2591.080254,1.5,0.053254428,2,Neoplasms,65.89,Cancer of uterus,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,       Uterus cancr,25,Cancer_AHRQ,low,565143525.1,449792801.2,190136.2792,1.11922781,1.264597861,0.885046421,1.964861003,2972.307691,1,0.053254428,2,Neoplasms,71.1,Cancer of uterus,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,       Uterus cancr,25,Cancer_AHRQ,low,557657915.4,441885191,179930.8686,1.094951609,1.31283064,0.834038737,1.922242903,3099.289853,1,0.053254428,2,Neoplasms,75.42,Cancer of uterus,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,       Uterus cancr,25,Cancer_AHRQ,low,603786148,481168156.7,190268.8967,1.174602374,1.351867141,0.868874122,2.062073849,3173.330789,2,0.053254428,2,Neoplasms,83.27,Cancer of uterus,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,       Uterus cancr,25,Cancer_AHRQ,low,660642126.7,528975711.4,184317.5903,1.273418173,1.534171394,0.830036447,2.235549979,3584.259786,1.5,0.053254428,2,Neoplasms,87.25,Cancer of uterus,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,       Uterus cancr,25,Cancer_AHRQ,low,671733657.8,536490029.4,194244.4183,1.282372475,1.476447607,0.868552645,2.251269709,3458.187697,2.5,0.053254428,2,Neoplasms,93.61,Cancer of uterus,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,       Uterus cancr,25,Cancer_AHRQ,low,731658742.2,579073020.6,207505.7737,1.383551291,1.491791333,0.927442907,2.428894235,3525.968118,3,0.053254428,2,Neoplasms,98.67,Cancer of uterus,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,       Uterus cancr,25,Cancer_AHRQ,low,773951424.4,621749156.4,216422.4698,1.449748142,1.535740329,0.944006037,2.545106154,3576.114001,2,0.053254428,2,Neoplasms,101.79,Cancer of uterus,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,       Uterus cancr,25,Cancer_AHRQ,low,798825134.4,653114605.4,215376.0076,1.483280646,1.621052226,0.915011017,2.60397416,3708.97921,2,0.053254428,2,Neoplasms,106.92,Cancer of uterus,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,       Uterus cancr,25,Cancer_AHRQ,low,878983991.9,718915535.3,218449.0827,1.618527348,1.759270322,0.919999233,2.841406583,4023.747691,3,0.053254428,2,Neoplasms,110.18,Cancer of uterus,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,       Uterus cancr,25,Cancer_AHRQ,low,843992551.1,684322227.8,246833.1854,1.542550986,1.48204719,1.040824474,2.708026239,3419.283147,4.5,0.053254428,2,Neoplasms,117.76,Cancer of uterus,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,       Uterus cancr,25,Cancer_AHRQ,low,973943393.6,772862483,263428.7366,1.766822697,1.56835369,1.126546077,3.101746565,3697.179761,5.5,0.053254428,2,Neoplasms,122.26,Cancer of uterus,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,       Uterus cancr,25,Cancer_AHRQ,low,926537292.9,742385132,264728.5139,1.66909462,1.499109917,1.11339042,2.930179986,3499.952759,6,0.053254428,2,Neoplasms,121.82,Cancer of uterus,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,       Uterus cancr,25,Cancer_AHRQ,low,1017666362,815803075.8,279767.2158,1.819684622,1.558810961,1.167354264,3.194548347,3637.546875,6,0.053254428,2,Neoplasms,128.96,Cancer of uterus,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,       Uterus cancr,25,Cancer_AHRQ,low,1123665278,920758575.6,279507.2008,1.994612245,1.760993305,1.132663162,3.501642631,4020.165758,5,0.053254428,2,Neoplasms,135.84,Cancer of uterus,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
